d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs
3.0402,5.9614,-0.5872,0.9842,0.8246,0.0175,0.9182,85.4545,98.1818
3.0775,6.0061,-0.5826,0.9852,0.8305,0.0169,0.9211,85.9649,98.2456
2.6986,2.0753,-0.2706,0.9718,0.8596,0.0526,0.9182,89.0909,94.5455
