Axis,1,2,3,4,5,6,7,8,9
x,197843,218000,238158,197843,218000,238158,197843,218000,238158
y,167922,167922,167922,188079,188079,188079,208237,208237,208237
z,98973,98570,103408,92321,99578,102803,95748,93531,100787
