Axis,1,2,3,4,5,6,7,8,9
x,300494,248000,188507,309494,248000,198507,323494,284000,196507
y,432494,399494,407494,354000,297000,335000,254000,248000,270000
z,198000,217000,243000,175000,273000,312000,173000,210000,323000
