trial,interactor,cooling,response,listened,hypothesis,confidence,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
3,0,0,0,no ,no ,0.81,0.17680447955904444,7.533118963241577,3.49685001373291,5,False,1,1
4,0,0,0,no ,no ,0.97,0.20945238930690688,2.849043846130371,3.611204147338867,9,False,1,2
5,0,1,1,yes ,yes ,0.99,0.32835927789668373,2.9097390174865723,1.3005621433258057,1,False,1,3
6,0,0,0,no ,no ,0.79,0.14629226766841721,2.923535108566284,3.618744134902954,7,False,1,4
7,1,0,0,no ,no ,0.87,0.2980034934130399,2.7720260620117188,1.327157974243164,5,False,1,5
8,1,1,1,yes ,yes ,0.31,0.11358223529485602,2.9298081398010254,2.9642300605773926,3,False,1,6
9,0,1,1,yes ,yes ,0.99,0.13071093436470158,2.8805899620056152,1.6341609954833984,1,False,1,7
10,1,0,0,no ,no ,0.86,0.17677256698412835,2.736755847930908,3.654059886932373,8,False,1,8
11,1,0,0,no ,no ,0.92,0.2222704327871925,2.7496721744537354,1.737654209136963,6,False,1,9
12,1,1,3,0,0,0,0,0,0.6614260673522949,4,True,1,10
13,1,0,0,no ,no ,0.81,0.16272476078510623,2.6550400257110596,4.2323830127716064,8,False,1,11
14,0,0,0,no ,no ,0.9,0.13740167937998005,3.3197717666625977,1.3207311630249023,2,False,1,12
15,1,1,3,0,0,0,0,0,0.7259130477905273,4,True,1,13
16,1,1,1,yes ,yes ,0.99,0.18656180172720455,2.8263728618621826,3.2920281887054443,6,False,1,14
17,0,1,1,yes ,yes ,0.99,0.3225467158009908,3.1281328201293945,1.7723321914672852,8,False,1,15
18,0,0,0,no ,no ,0.8,0.3642817417146972,3.1703460216522217,4.33004093170166,4,False,1,16
19,0,1,1,yes ,yes ,0.99,0.1586313333615475,3.033229112625122,7.546983003616333,2,False,1,17
20,0,0,0,no ,no ,0.95,0.23950684575641637,3.1729118824005127,3.3964619636535645,8,False,1,18
21,1,1,3,0,0,0,0,0,0.47675585746765137,6,True,1,19
22,1,0,0,no ,no ,0.72,0.3180097177283191,2.8667819499969482,1.8214740753173828,4,False,1,20
23,0,1,0,no ,no ,0.98,0.2846662622625013,2.866757869720459,1.7769479751586914,8,False,1,21
24,0,0,0,no ,no ,0.51,0.20792356344481103,3.2977828979492188,7.521565914154053,2,False,1,22
25,1,0,0,no ,no ,0.7,0.28673297266432196,3.319096803665161,2.16451096534729,4,False,1,23
26,0,0,1,yes ,yes ,0.99,0.3838143175890515,3.1245510578155518,3.840604782104492,8,False,1,24
27,1,0,0,no ,no ,0.62,0.3617895882167439,2.8427419662475586,3.672567129135132,2,False,1,25
28,1,0,0,no ,no ,0.84,0.12423654276401608,3.0153000354766846,1.5487840175628662,6,False,1,26
29,1,0,0,no ,no ,0.97,0.2754690726707275,3.3547682762145996,1.5464301109313965,4,False,1,27
30,1,0,0,no ,no ,0.72,0.11255333052941115,3.0465309619903564,4.728307008743286,8,False,1,28
31,0,0,0,no ,no ,0.85,0.18393378228836144,3.3365631103515625,1.6223742961883545,6,False,1,29
32,0,0,0,no ,no ,0.84,0.39922122722121955,3.3087432384490967,3.4638590812683105,1,False,1,30
33,1,1,1,yes ,yes ,0.99,0.17348683211373056,3.1944727897644043,2.596691846847534,8,False,1,31
34,1,0,0,no ,no ,0.82,0.2615624018878225,2.982646942138672,2.9031059741973877,3,False,1,32
35,1,1,0,no ,no ,0.86,0.16298143948457744,3.551290273666382,0.618678092956543,1,False,1,33
36,0,1,1,yes ,yes ,0.99,0.12706673608146038,3.1090331077575684,3.2461161613464355,5,False,1,34
37,1,0,1,yes ,yes ,0.99,0.34577566384472935,3.0566341876983643,1.7505271434783936,9,False,1,35
38,1,0,0,no ,no ,0.91,0.2790240393207463,2.9673869609832764,1.886720895767212,7,False,1,36
39,1,1,1,yes ,yes ,0.99,0.33637704811818553,3.0066540241241455,6.6118268966674805,1,False,1,37
40,0,0,0,no ,no ,0.84,0.29878163869513985,3.212315082550049,2.9852161407470703,9,False,1,38
41,1,1,1,yes ,yes ,0.99,0.2894058819704659,2.9258360862731934,2.6482717990875244,5,False,1,39
42,1,0,0,no ,no ,0.9,0.15836011223639945,3.274935245513916,3.521428108215332,7,False,1,40
43,1,1,1,yes ,yes ,0.95,0.15726574078851924,2.969165086746216,2.796553134918213,9,False,1,41
44,1,0,0,no ,no ,0.8,0.27017352645278636,3.084192991256714,7.961889982223511,5,False,1,42
45,0,0,0,no ,no ,0.72,0.3495831681188445,3.108484983444214,1.8803181648254395,7,False,1,43
46,0,1,1,yes ,yes ,0.98,0.35532311883097945,2.956070899963379,5.214759111404419,9,False,1,44
47,0,1,0,no ,no ,0.81,0.2463677329867493,2.741860866546631,8.839796781539917,5,False,1,45
48,1,1,1,yes ,yes ,0.99,0.12468391600447795,2.793729066848755,5.767797946929932,3,False,1,46
49,0,0,0,no ,no ,0.79,0.2515394742246061,3.067937135696411,1.4020919799804688,1,False,1,47
50,0,1,1,yes ,yes ,0.99,0.2692946679443536,3.1502609252929688,5.595164060592651,7,False,1,48
51,1,1,3,0,0,0,0,0,10.111140966415405,3,True,1,49
52,0,0,0,no ,no ,0.78,0.39155472668063607,2.7578189373016357,2.763139009475708,5,False,1,50
53,1,0,0,no ,no ,0.89,0.3673846596146616,3.113651990890503,9.035315752029419,9,False,1,51
54,0,1,1,yes ,yes ,0.99,0.25697402073941267,2.8439788818359375,3.695366859436035,3,False,1,52
55,1,0,0,no ,no ,0.82,0.2174904289292792,2.8487741947174072,1.6800410747528076,5,False,1,53
56,1,1,0,no ,no ,0.65,0.3868412169513241,2.8055529594421387,7.442674875259399,1,False,1,54
57,0,1,1,yes ,yes ,0.99,0.29782195641174447,3.0783779621124268,6.183911085128784,3,False,1,55
58,0,1,1,yes ,yes ,0.99,0.1107838230987913,3.1281988620758057,9.87764573097229,5,False,1,56
59,1,0,0,no ,no ,0.4,0.17490737250035704,3.166666030883789,1.8910999298095703,1,False,1,57
60,0,0,0,no ,no ,0.61,0.3347392809062095,3.092942953109741,3.3130669593811035,9,False,1,58
61,1,0,1,yes ,yes ,0.99,0.2895827523795051,3.2315988540649414,9.90820026397705,5,False,2,0
62,1,1,1,yes ,yes ,0.99,0.1503885826578168,3.3146491050720215,1.0961260795593262,7,False,2,1
63,0,0,0,no ,no ,0.46,0.2674089296152324,3.270822048187256,2.8919851779937744,3,False,2,2
64,0,1,1,yes ,yes ,0.99,0.33112159058104407,3.1472768783569336,1.1421849727630615,5,False,2,3
