trial,delta_stimulation,response,listened,hypothesis,confidence,reaction_time,time_delay,stimulus_time,position,failed
1,0.0,0,no ,no ,0.56,3.2778382301330566,0.1693072598252993,9.591308116912842,1,False
2,1.5,1,yes ,yes ,0.98,4.177628993988037,0.359885400532294,3.071190118789673,8,False
0,1.5,3,0,0,0.0,0.0,0.359885400532294,10.2291738986969,7,True
3,0.0,0,no ,no ,0.79,2.8632538318634038,0.1105596485371762,3.713877201080322,9,False
4,1.5,1,yes ,yes ,0.98,2.715564727783203,0.3855707538280589,5.234331846237183,2,False
