Axis,1,2,3,4,5,6,7,8,9
x,302494,248000,218507,319494,254000,196507,363494,314000,206507
y,452494,389494,407494,334000,295000,345000,264000,278000,273000
z,118000,190000,272000,229000,243000,312000,160000,135000,335000
